"address"|"lot_number"|"number_first"|"number_last"|"street_name"|"street_type"|"street_suffix"|"locality_name"|"postcode"|"state_code"
"60 SIXTH AVENUE"|""|"60"|""|"SIXTH"|"AVENUE"|""|"TOUKLEY"|"2263"|"NSW"
"62 SIXTH AVENUE"|"17"|"62"|""|"SIXTH"|"AVENUE"|""|"TOUKLEY"|"2263"|"NSW"
"6 HILL STREET"|"333"|"6"|""|"HILL"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"8 HILL STREET"|"334"|"8"|""|"HILL"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"10 HOLMES STREET"|"160"|"10"|""|"HOLMES"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"19 MOONEY STREET"|"126"|"19"|""|"MOONEY"|"STREET"|""|"CURRAJONG"|"4812"|"QLD"
"20 MOONEY STREET"|"262"|"20"|""|"MOONEY"|"STREET"|""|"CURRAJONG"|"4812"|"QLD"
"9 ALLONGA STREET"|"521"|"9"|""|"ALLONGA"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"17 CORDIA STREET"|"106"|"17"|""|"CORDIA"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"2 CORDIA STREET"|"89"|"2"|""|"CORDIA"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"34 GANNAWARRA STREET"|"199"|"34"|""|"GANNAWARRA"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"36 GANNAWARRA STREET"|"198"|"36"|""|"GANNAWARRA"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"38 GANNAWARRA STREET"|"197"|"38"|""|"GANNAWARRA"|"STREET"|""|"CURRIMUNDI"|"4551"|"QLD"
"30 FORESTWOOD STREET"|"21"|"30"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"32 FORESTWOOD STREET"|"20"|"32"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"38 FORESTWOOD STREET"|"17"|"38"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"39 FORESTWOOD STREET"|"492"|"39"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"39 GARDENS SQUARE"|"118"|"39"|""|"GARDENS"|"SQUARE"|""|"CURRIMUNDI"|"4551"|"QLD"
"5 GARDENS SQUARE"|"88"|"5"|""|"GARDENS"|"SQUARE"|""|"CURRIMUNDI"|"4551"|"QLD"
"44 FORESTWOOD STREET"|"14"|"44"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"46 FORESTWOOD STREET"|"13"|"46"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"51 FORESTWOOD STREET"|"442"|"51"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"54 FORESTWOOD STREET"|"398"|"54"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"60 FORESTWOOD STREET"|"401"|"60"|""|"FORESTWOOD"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"23 QUANDONG STREET"|"104"|"23"|""|"QUANDONG"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
"25 QUANDONG STREET"|"105"|"25"|""|"QUANDONG"|"STREET"|""|"CRESTMEAD"|"4132"|"QLD"
